score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.38799505832122,0.058997375550766,953,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,1E-05,0
1.3880947331559,0.087075027007338,948,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.75,0,0
1.38969232510897,0.064521559411432,981,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.001,0.9,0,0
1.38969923494915,0.047662993395902,921,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0,0.0001,0
1.39105891524524,0.037548630569489,930,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.9,0.0001,0
1.3911505150074,0.028475092360271,886,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.75,0.001,0
1.39176185768797,0.08859562406431,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0,0.0001,0
1.39298944405713,0.040288123467307,994,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.01,0.9,1E-05,0
1.39368389201451,0.041846362295769,945,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.75,0.001,0
1.39378293103675,0.039380858012947,981,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0,0.0001,0
1.39437542437763,0.030792470486261,983,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.001,0.9,0,0
1.39517353865248,0.041201166009561,971,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0,0,0
1.39663507415902,0.015389120537111,930,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.75,0.001,0
1.39736394713951,0.08987230559653,880,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.9,1E-05,0
1.39756921460778,0.065915704489544,949,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0,1E-05,0
1.39935584098383,0.051903412956584,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0,0.0001,0
1.40003870783686,0.00627964431471,976,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.01,0.9,1E-05,0
1.40134468584892,0.039654828519064,969,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0,0.0001,0
1.40169927481877,0.03600698750515,982,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.01,0.9,0,0
1.40186352753104,0.014679923654859,980,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0,1E-05,0
1.40329377761698,0.014733533899682,988,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.01,0.9,0.0001,0
1.40371167453941,0.051763417696225,963,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.75,0,0
1.40505876212226,0.026545648403695,972,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0,0.0001,0
1.40872945470377,0.059058459718611,913,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.9,0.001,0
1.41119383942894,0.028464538790083,969,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0,0.0001,0
1.41339928886098,0.082321360646879,959,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,0.0001,0
1.41362397919324,0.034157484772874,943,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,relu,0.01,0.9,0.0001,0
1.41411993226964,0.0577266510926,924,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0,1E-05,0
1.41455468862791,0.048032544307923,870,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.75,0.001,0
1.41508250341204,0.059300308760027,925,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.01,0.9,0,0
1.41767051789036,0.016160901525702,971,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.75,0.001,0
1.4181236444526,0.037317650114582,961,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.01,0.9,0.0001,0
1.41815646240441,0.049156250509159,963,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.001,0.9,0.0001,0
1.42038827322349,0.024392460332228,919,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.75,0.001,0
1.42496222642755,0.048834961485501,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0,0,0
1.42522705525716,0.080875255363509,957,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.9,0,0
1.42586975306721,0.050166598950048,935,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.1,0.75,0.001,0
1.42809073732965,0.050268593079636,962,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0,0.0001,0
1.43006583038762,0.06886521491375,919,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.001,0.9,0.0001,0
1.43135029791341,0.030037909696448,979,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.1,0,0.0001,0
1.43281597719211,0.151223817408387,823,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.9,0.0001,0
1.43339700290774,0.019154562806296,995,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,0,0
1.4358630214289,0.064140570190001,927,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0,0.0001,0
1.43766621960226,0.037560395237256,826,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.5,0.001,0
1.43771229339798,0.068715902854638,799,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.75,0.001,0
1.4404166087006,0.081726701675533,982,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.75,0.0001,0
1.44295560212813,0.076832086097416,980,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.01,0.75,0,0
1.4470892859391,0.043923613019707,960,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.01,0.9,1E-05,0
1.44944903185798,0.038874437205863,824,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.1,0,0.001,0
1.44996310947108,0.009061122307781,986,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,1E-05,0
1.4521685280823,0.033609124349025,990,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.01,0.75,1E-05,0
1.45419078101097,0.046498218272241,987,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.01,0.9,0,0
1.45449615852035,0.026295470435456,994,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.01,0.9,0.0001,0
1.45820062159747,0.021606974495925,954,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0.001,0
1.46115361435917,0.126336256513114,990,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.75,1E-05,0
1.46163379639623,0.046866187583272,983,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.01,0.75,0.0001,0
1.46212966796824,0.041099209886161,747,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.5,0.001,0
1.46500365521004,0.278228313076606,889,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.9,0.0001,0
1.46517391655878,0.029279989411104,972,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.01,0.75,0,0
1.4659526784981,0.016701141334686,990,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.01,0.75,0,0
1.46656388259884,0.03371459409404,904,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.5,0.001,0
1.46793129131856,0.023646915091919,770,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.5,0.001,0
1.46881699419495,0.065592309095397,984,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.01,0.75,1E-05,0
1.46973627863459,0.150181968681355,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.9,0.001,0
1.47059078578008,0.007988523160825,832,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.5,0.001,0
1.47142932055138,0.037355604664256,892,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.1,0.5,0.001,0
1.47394141549708,0.035327713925826,914,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,0.0001,0
1.47411989287632,0.028564921638967,973,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.5,0,0
1.47468367421342,0.03223527574973,987,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.5,1E-05,0
1.47558800057644,0.00014763691546,986,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,sigmoid 1,0.01,0.9,0.0001,0
1.4756199618863,0.048486074460342,998,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.01,0.75,1E-05,0
1.47582223592953,0.058227134610131,975,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.5,0.0001,0
1.47647408632867,0.106451313021077,953,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.75,0.0001,0
1.47669032154273,0.042300721393872,958,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.5,0,0
